AABERG,ˈɑbɝg 
ACCURIDE,ˈækjɝˌaɪ d 
ACCURSO,ɑkˈʊrsoʊ
ACCUSATION,ˌækjəzˈeɪʃən 
ACCUSATION(1),ˌækjuzˈeɪʃən 
ACCUSATIONS,ˌækjəzˈeɪʃənz 
ACCUSATIONS(1),ˌækjuzˈeɪʃənz 
ACCUSATIVE,əkjˈuzə tɪv 
ACCUSATORY,əkjˈuzə tˌɔri 
ACCUSE,əkjˈuz 
ACCUSED,əkjˈuz  d 
ACCUSER,əkjˈuzɝ
ACCUSERS,əkjˈuzɝz 
ACCUSES,əkjˈuzɪz 
ACCUSING,əkjˈuzɪŋ 
ACCUSINGLY,əkjˈuzɪŋɫi 
ACCUSTOM,əkˈʌs  təm 
ACCUSTOMED,əkˈʌs  təm  d 
ACCUTANE,ˈækju tˌeɪn 
ACE,ˈeɪs 
ACECOMM,ˈeɪskɑm 
ACED,ˈeɪs  t 
ACER,ˈeɪsɝ
ACERBIC,əsˈɛrbɪk 
ACERO,əsˈɛroʊ
ACERO(1),əsjˈɛroʊ
ACERO(2),əθˈɛroʊ
ACERRA,əsˈɛrə
ACES,ˈeɪsɪz 
ACETAMINOPHEN,əsˌi  təmˈɪnə fən 
ACETATE,ˈæsə tˌeɪ t 
ACETIC,əsˈɛ  tɪk 
ACETIC(1),əsˈi  tɪk 
ACETO,ɑsˈɛ  toʊ
ACETOCHLOR,ɑsˈɛ  toʊkɫˌɔr
ACETONE,ˈæsə tˌoʊn 
ACETOSYRINGONE,əsˌɛ  toʊsˈɪrɪŋgɔn 
ACETYLCHOLINE,əsˌɛ  təɫkˈoʊɫin 
ACETYLCHOLINE(1),əsˌi  təɫkˈoʊɫin 
ACETYLENE,əsˈɛ  təɫˌin 
ACEVEDO,æsəvˈeɪ doʊ
ACEVES,ɑsˈeɪvɛs 
ACEY,ˈeɪsi 
ACHAEAN,ətʃˈiən 
ACHATZ,ˈækə ts 
ACHE,ˈeɪk 
ACHEBE,ɑtʃˈeɪbi 
ACHED,ˈeɪk  t 
ACHEE,ətʃˈi 
ACHENBACH,ˈækɪnbɑk 
ACHENBAUM,ˈækənbˌaʊm 
ACHES,ˈeɪks 
ACHESON,ˈætʃəsən 
ACHESON'S,ˈætʃəsənz 
ACHESONS,ˈætʃəsənz 
ACHEY,ˈætʃi 
ACHIEVA,ətʃˈivə
ACHIEVABLE,ətʃˈivəbəɫ 
ACHIEVE,ətʃˈiv 
ACHIEVED,ətʃˈiv  d 
ACHIEVEMENT,ətʃˈivmən  t 
ACHIEVEMENTS,ətʃˈivmən  ts 
ACHIEVER,ətʃˈivɝ
ACHIEVERS,ətʃˈivɝz 
ACHIEVES,ətʃˈivz 
ACHIEVING,ətʃˈivɪŋ 
ACHILLE,əkˈɪɫi 
ACHILLES,əkˈɪɫiz 
ACHILLES',əkˈɪɫiz 
ACHING,ˈeɪkɪŋ 
ACHINGLY,ˈeɪkɪŋɫi 
ACHMED,ˈɑhmɛ  d 
ACHOA,ətʃˈoʊə
ACHOA'S,ətʃˈoʊəz 
ACHOO,ˌɑtʃˈu
ACHOR,ˈeɪkɝ
ACHORD,ˈækɔr d 
ACHORN,ˈækɝn 
ACHTENBERG,ˈæk  tɛnbɝg 
ACHTERBERG,ˈæk  tɝbɝg 
ACHY,ˈeɪki 
ACID,ˈæsə d 
ACIDIC,əsˈɪ  dɪk 
ACIDIFICATION,əsˌɪ  də fəkˈeɪʃən 
ACIDIFIED,əsˈɪ  də fˌaɪ d 
ACIDIFIES,əsˈɪ  də fˌaɪz 
ACIDIFY,əsˈɪ  də fˌaɪ
ACIDITY,əsˈɪ  də ti 
ACIDLY,ˈæsə dɫi 
ACIDOSIS,ˌæsə dˈoʊsəs 
ACIDS,ˈæsə dz 
ACIDURIA,ˌæsə dˈʊriə
ACIERNO,ɑsˈɪrnoʊ
ACK,ˈæk 
ACKER,ˈækɝ
ACKER'S,ˈækɝz 
ACKERLEY,ˈækɝɫi 
ACKERLY,ˈækɝɫi 
ACKERMAN,ˈækɝmən 
ACKERMANN,ˈækɝmən 
ACKERMANVILLE,ˈækɝmənvɪɫ 
ACKERSON,ˈækɝsən 
ACKERT,ˈækɝ t 
ACKHOUSE,ˈækhˌaʊs 
ACKLAND,ˈækɫən  d 
ACKLES,ˈækəɫz 
ACKLEY,ˈækɫi 
ACKLIN,ˈækɫɪn 
ACKMAN,ˈækmən 
ACKNOWLEDGE,æknˈɑɫɪdʒ 
ACKNOWLEDGEABLE,æknˈɑɫɪdʒəbəɫ 
ACKNOWLEDGED,æknˈɑɫɪdʒ  d 
ACKNOWLEDGEMENT,æknˈɑɫɪdʒmən  t 
ACKNOWLEDGEMENTS,æknˈɑɫɪdʒmən  ts 
ACKNOWLEDGES,æknˈɑɫɪdʒɪz 
ACKNOWLEDGING,æknˈɑɫɪdʒɪŋ 
ACKNOWLEDGMENT,æknˈɑɫɪdʒmən  t 
ACKROYD,ˈækrˌɔɪ  d 
ACKROYD'S,ˈækrˌɔɪ  dz 
ACMAT,ˈækmæ  t 
ACMAT'S,ˈækmæ  ts 
ACME,ˈækmi 
ACME'S,ˈækmiz 
ACNE,ˈækni 
ACOCELLA,ɑkoʊtʃˈɛɫə
ACOFF,ˈækɔ  f 
ACOG,əkˈɔg 
ACOLYTE,ˈækəɫˌaɪ t 
ACOLYTES,ˈækəɫˌaɪ ts 
ACORD,əkˈɔr d 
ACORDIA,əkˈɔr diə
ACORN,ˈeɪkɔrn 
ACORN'S,ˈeɪkɔrnz 
ACORNS,ˈeɪkɔrnz 
ACOSTA,əkˈɔs  tə
ACOTT,ˈeɪkɔ  t 
ACOUSTIC,əkˈus  tɪk 
ACOUSTICAL,əkˈus  tɪkəɫ 
ACOUSTICALLY,əkˈus  tɪkɫi 
ACOUSTICS,əkˈus  tɪks 
ACQUAINT,əkwˈeɪn  t 
ACQUAINTANCE,əkwˈeɪn  təns 
ACQUAINTANCES,əkwˈeɪn  tənsɪz 
ACQUAINTANCESHIP,əkwˈeɪn  tənsʃɪ  p 
ACQUAINTED,əkwˈeɪn  tɪ  d 
ACQUAINTED(1),əkwˈeɪnɪ  d 
ACQUAVIVA,ɑkwɑvˈivə
ACQUIESCE,ˌækwiˈɛs 
ACQUIESCED,ˌækwiˈɛs  t 
ACQUIESCENCE,ˌækwiˈɛsəns 
ACQUIESCING,ˌækwiˈɛsɪŋ 
ACQUIRE,əkwˈaɪɝ
ACQUIRED,əkwˈaɪɝ d 
ACQUIRER,əkwˈaɪɝɝ
ACQUIRER'S,əkwˈaɪɝɝz 
ACQUIRERS,əkwˈaɪɝɝz 
ACQUIRES,əkwˈaɪɝz 
ACQUIRING,əkwˈaɪrɪŋ 
ACQUIRING(1),əkwˈaɪɝɪŋ 
ACQUISITION,ˌækwəzˈɪʃən 
ACQUISITION'S,ˌækwəzˈɪʃənz 
ACQUISITIONS,ˌækwəzˈɪʃənz 
ACQUISITIVE,əkwˈɪzə tɪv 
ACQUIT,əkwˈɪ  t 
ACQUITAINE,ˈækwɪ  tˌeɪn 
ACQUITS,əkwˈɪ  ts 
ACQUITTAL,əkwˈɪ  təɫ 
ACQUITTALS,əkwˈɪ  təɫz 
ACQUITTED,əkwˈɪ  tɪ  d 
ACQUITTING,əkwˈɪ  tɪŋ 
ACRE,ˈeɪkɝ
ACREAGE,ˈeɪkərɪdʒ 
ACREAGE(1),ˈeɪkrɪdʒ 
ACREE,əkrˈi 
ACRES,ˈeɪkɝz 
ACREY,ˈækri 
ACRI,ˈɑkri 
ACRID,ˈækrɪ  d 
ACRIMONIOUS,ˌækrəmˈoʊniəs 
ACRIMONY,ˈækrɪmˌoʊni 
ACRO,ˈækroʊ
ACROBAT,ˈækrəbˌæ  t 
ACROBATIC,ˌækrəbˈæ  tɪk 
ACROBATICS,ˌækrəbˈæ  tɪks 
ACROBATS,ˈækrəbˌæ  ts 
ACROLEIN,ˈækroʊɫˌin 
ACRONYM,ˈækrənɪm 
ACRONYMS,ˈækrənɪmz 
ACROPOLIS,əkrˈɑ  pəɫəs 
ACROSS,əkrˈɔs 
ACRYLIC,əkrˈɪɫɪk 
ACRYLICS,əkrˈɪɫɪks 
ACT,ˈæk  t 
ACT'S,ˈæk  ts 
ACTAVA,ˌæk  tˈɑvə
ACTAVA'S,ˌæk  tˈɑvəz 
ACTAVAS,ˌæk  tˈɑvəz 
ACTED,ˈæk  tɪ  d 
ACTEL,ˈæk  tɛɫ 
ACTIGALL,ˈæk  tɪgɔɫ 
ACTIN,ˈæk  tən 
ACTING,ˈæk  tɪŋ 
ACTINIDE,ˈæk  tɪnˌaɪ d 
ACTINIDIA,ˌæk  tɪnˈɪ  diə
ACTINOMYCOSIS,ˌæk  tˌɪnoʊmˌaɪkˈoʊsɪs 
ACTION,ˈækʃən 
ACTION'S,ˈækʃənz 
ACTIONABLE,ˈækʃənəbəɫ 
ACTIONS,ˈækʃənz 
ACTIVASE,ˈæk  tɪvˌeɪz 
ACTIVATE,ˈæk  təvˌeɪ t 
ACTIVATED,ˈæk  tɪvˌeɪ tɪ  d 
ACTIVATES,ˈæk  təvˌeɪ ts 
ACTIVATING,ˈæk  təvˌeɪ tɪŋ 
ACTIVATION,ˌæk  təvˈeɪʃən 
ACTIVATOR,ˈæk  təvˌeɪ tɝ
ACTIVE,ˈæk  tɪv 
ACTIVE'S,ˈæk  tɪvz 
ACTIVELY,ˈæk  tɪvɫi 
ACTIVES,ˈæk  tɪvz 
ACTIVISION,ˈæk  tɪvˌɪʒən 
ACTIVISM,ˈæk  tɪvˌɪzəm 
ACTIVIST,ˈæk  tɪvɪs  t 
ACTIVISTS,ˈæk  tɪvɪs  ts 
ACTIVISTS',ˈæk  tɪvɪs  ts 
ACTIVITIES,æk  tˈɪvɪ  tiz 
ACTIVITY,æk  tˈɪvɪ  ti 
ACTMEDIA,æk  tmˈi  diə
ACTODINE,ˈæk  toʊ dˌaɪn 
ACTON,ˈæk  tən 
ACTOR,ˈæk  tɝ
ACTOR'S,ˈæk  tɝz 
ACTORS,ˈæk  tɝz 
ACTORS',ˈæk  tɝz 
ACTRESS,ˈæk  trəs 
ACTRESS'S,ˈæk  trəsɪz 
ACTRESSES,ˈæk  trəsɪz 
ACTS,ˈæk  ts 
ACTS(1),ˈæks 
ACTUAL,ˈæktʃəwəɫ 
ACTUAL(1),ˈækʃəɫ 
ACTUALITY,ˌæktʃuˈæɫə tˌi 
ACTUALIZE,ˈæktʃˌuəɫˌaɪz 
ACTUALLY,ˈæktʃˌuəɫi 
ACTUALLY(1),ˈæktʃɫi 
ACTUALLY(2),ˈækʃəɫi 
ACTUARIAL,ˌæktʃˌuˈɛriəɫ 
ACTUARIES,ˈæktʃˌuˈɛrˌiz 
ACTUARY,ˈæktʃuˈɛrˌi 
ACTUATE,ˈæktʃˌuˈeɪ t 
ACTUATOR,ˈæk  tjuˌeɪ tɝ
ACTUATOR(1),ˈæktʃuˌeɪ tɝ
ACTUATORS,ˈæk  tjuˌeɪ tɝz 
ACTUATORS(1),ˈæktʃuˌeɪ tɝz 
ACTUS,ˈæk  təs 
ACUFF,əkˈʌ f 
ACUITY,əkjˈuə ti 
ACUMEN,əkjˈumən 
ACUNA,ɑkˈunə
ACUPUNCTURE,ˈækju pˌʌŋktʃɝ
ACURA,ˈækjɝə
ACURA'S,ˈækjɝəz 
ACURAS,ˈækjɝəz 
ACUSON,ˌækjˈusən 
ACUSTAR,ˈækjus  tˌɑr
ACUSYST,ˈækjusɪs  t 
ACUTE,əkjˈu t 
ACUTELY,əkjˈu tɫi 
ACUTENESS,əkjˈu tnəs 
ACYCLOVIR,əsˈɪkɫoʊvˌɪr 
AD,ˈæ  d 
AD'S,ˈæ  dz 
AD-HOC,ˈæ  dhˈɑk 
AD-LIB,ˈæ  dɫˈɪb 
AD-NAUSEAM,ˈæ  dnˈɔziɑm 
AD-NAUSEUM,ˈæ  dnˈɔziəm 
ADA,ˈeɪ də
ADA'S,ˈeɪ dəz 
ADABEL,ˈæ  dəbɛɫ 
ADABELLE,ˈæ  dəbəɫ 
ADACHI,ɑ  dˈɑki 
ADAGE,ˈæ  dədʒ 
ADAGIO,ə dˈɑʒiˌoʊ
ADAH,ˈæ  dɑ 
ADAIR,ə dˈɛr
ADAIRE,ɑ  dˈɛr
ADAK,ə dˈæk 
ADALAH,ɑ  dˈɑɫə
ADALIA,ɑ  dˈɑɫiə
ADAM,ˈæ  dəm 
ADAM'S,ˈæ  dəmz 
ADAMANT,ˈæ  dəmən  t 
ADAMANTLY,ˈæ  dəmən  tɫi 
ADAMCIK,ˈɑ  dəmtʃɪk 
ADAMCZAK,ˈɑ  dəmtʃæk 
ADAMCZYK,ˈɑ  dəmtʃɪk 
ADAME,ɑ  dˈɑmi 
ADAMEC,ə dˈɑmɛk 
ADAMEK,ə dˈɑmɛk 
ADAMES,ə dˈeɪmz 
ADAMI,ɑ  dˈɑmi 
ADAMIK,ə dˈɑmɪk 
ADAMINA,ɑ  dɑmˈinə
ADAMKUS,ˈæ  dəmkəs 
ADAMO,ɑ  dˈɑmoʊ
ADAMOWICZ,ə dˈɑməvɪtʃ 
ADAMS,ˈæ  dəmz 
ADAMS',ˈæ  dəmz 
ADAMS'S,ˈæ  dəmzɪz 
ADAMSKI,ə dˈæmskˌi 
ADAMSON,ˈæ  dəmsən 
ADAMSTOWN,ˈæ  dəms  tˌaʊn 
ADAN,ˈeɪ dən 
ADAPSO,ə dˈæ  psoʊ
ADAPT,ə dˈæ  p  t 
ADAPTABILITY,ə dˌæ  p  təbˈɪɫə ti 
ADAPTABLE,ə dˈæ  p  təbəɫ 
ADAPTAPLEX,ə dˈæ  p  tə pɫˌɛks 
ADAPTATION,ˌæ  də p  tˈeɪʃən 
ADAPTATIONS,ˌæ  dæ  p  tˈeɪʃənz 
ADAPTATIONS(1),ˌæ  də p  tˈeɪʃənz 
ADAPTEC,ə dˈæ  p  tˌɛk 
ADAPTEC'S,ə dˈæ  p  tˌɛks 
ADAPTED,ə dˈæ  p  tɪ  d 
ADAPTER,ə dˈæ  p  tɝ
ADAPTERS,ə dˈæ  p  tɝz 
ADAPTING,ə dˈæ  p  tɪŋ 
ADAPTIVE,ə dˈæ  p  tɪv 
ADAPTOR,ə dˈæ  p  tɝ
ADAPTORS,ə dˈæ  p  tɝz 
ADAPTS,ə dˈæ  p  ts 
ADAR,ə dˈɑr
ADARAND,ˈæ  dərˌæn  d 
ADAS,ˈeɪ dəz 
ADAY,ə dˈeɪ
ADAZA,ə dˈɑzə
ADCOCK,ə dkˈɑk 
ADCOX,ə dkˈɑks 
ADD,ˈæ  d 
ADDAIR,ə dˈɛr
ADDAMS,ˈæ  dəmz 
ADDED,ˈæ  dɪ  d 
ADDENDUM,ə dˈɛn  dəm 
ADDENDUMS,ə dˈɛn  dəmz 
ADDEO,ˈɑ  dioʊ
ADDER,ˈæ  dɝ
ADDERLEY,ə dˈɝɫi 
ADDICKS,ˈæ  dɪks 
ADDICT,ə dˈɪk  t 
ADDICT(1),ˈæ  dˌɪk  t 
ADDICTED,ə dˈɪk  tɪ  d 
ADDICTING,ə dˈɪk  tɪŋ 
ADDICTION,ə dˈɪkʃən 
ADDICTIONS,ə dˈɪkʃənz 
ADDICTIVE,ə dˈɪk  tɪv 
ADDICTS,ə dˈɪk  ts 
ADDICTS(1),ˈæ  dˌɪk  ts 
ADDIDAS,ə dˈi  dəs 
ADDIDAS',ə dˈi  dəs 
ADDIDAS'S,ə dˈi  dəsɪz 
ADDIDASES,ə dˈi  dəsɪz 
ADDIE,ˈæ  di 
ADDING,ˈæ  dɪŋ 
ADDINGTON,ˈæ  dɪŋ  tən 
ADDIS,ˈɑ  dɪs 
ADDIS-ABABA,ˈɑ  dɪsəbˈɑbɑ 
ADDIS-ABABA(1),ˈɑ  disəbˈɑbɑ 
ADDISON,ˈæ  dɪsən 
ADDISON'S,ˈæ  dɪsənz 
ADDITION,ə dˈɪʃən 
ADDITIONAL,ə dˈɪʃənəɫ 
ADDITIONALLY,ə dˈɪʃənˌʌɫi 
ADDITIONS,ə dˈɪʃənz 
ADDITIVE,ˈæ  dɪ  tɪv 
ADDITIVES,ˈæ  dɪ  tɪvz 
ADDLE,ˈæ  dəɫ 
ADDLED,ˈæ  dəɫ  d 
ADDLEMAN,ˈæ  dəɫmən 
ADDRESS,ˈæ  drˌɛs 
ADDRESS(1),æ  drˈɛs 
ADDRESSABLE,æ  drˈɛsəbəɫ 
ADDRESSED,ə drˈɛs  t 
ADDRESSEE,ˌæ  drɛsˈi 
ADDRESSES,ˈæ  drˈɛsɪz 
ADDRESSES(1),æ  drˈɛsɪz 
ADDRESSING,æ  drˈɛsɪŋ 
ADDS,ˈæ  dz 
ADDUCI,ɑ  dˈutʃi 
ADDUCT,ˈæ  dək  t 
ADDWEST,ˌæ  dwˈɛs  t 
ADDY,ˈæ  di 
ADDYSTON,ˈæ  dis  tən 
ADE,ˈeɪ d 
ADEE,ə dˈi 
ADEL,ə dˈɛɫ 
ADELA,ə dˈɛɫə
ADELAAR,ˈæ  dəɫˌɑr
ADELAIDE,ˈæ  dəɫˌeɪ d 
ADELANTO,æ  dəɫˈɑn  toʊ
ADELBERT,ə dˈɛɫbɝ t 
ADELE,ə dˈɛɫ 
ADELE'S,ə dˈɛɫz 
ADELINE,ˈæ  dəɫˌaɪn 
ADELIZZI,ˌæ  dəɫˈizi 
ADELL,ə dˈɛɫ 
ADELL'S,ə dˈɛɫz 
ADELLE,ə dˈɛɫ 
ADELMAN,ˈæ  dəɫmən 
ADELMAN(1),ˈɛ  dəɫmən 
ADELMANN,ˈæ  dəɫmən 
ADELPHA,ə dˈɛɫ  fə
ADELPHI,ə dˈɛɫ  fi 
ADELPHIA,ə dˈɛɫ  fiə
ADELPHIA'S,ə dˈɛɫ  fiəz 
ADELSBERGER,ˈæ  dɪɫzbɝgɝ
ADELSON,ˈæ  dəɫsən 
ADELSTEIN,ˈæ  dəɫs  taɪn 
ADELSTEIN(1),ˈæ  dəɫs  tin 
ADEN,ˈeɪ dən 
ADENA,ˈæ  dɪnə
ADENAUER,ˈeɪ dənˌaʊr 
ADENAUER(1),ˈæ  dənˌaʊr 
ADENINE,ˈæ  dənˌin 
ADENOID,ˈæ  dənˌɔɪ  d 
ADENOIDS,ˈæ  dənˌɔɪ  dz 
ADENOSCAN,ə dˈɛnəskˌæn 
ADENOSINE,ə dˈɛnəsˌin 
ADENOVIRUS,ə dˈɛnəvˌaɪrəs 
ADEPT,ə dˈɛ  p  t 
ADEQUACY,ˈæ  dəkwəsi 
ADEQUATE,ˈæ  dəkwə t 
ADEQUATE(1),ˈæ  dəkwˌeɪ t 
ADEQUATELY,ˈæ  dəkwɪ  tɫi 
ADER,ˈeɪ dɝ
ADERHOLD,ˈæ  dɝhoʊɫ  d 
ADERHOLT,ˈæ  dɝhoʊɫ  t 
ADERMAN,ˈæ  dɝmən 
ADES,ˈeɪ dz 
ADEY,ˈeɪ di 
ADGER,ˈædʒɝ
ADHAM,ˈæ  dhæm 
ADHERE,ə dhˈɪr 
ADHERED,æ  dhˈɪr  d 
ADHERENCE,ə dhˈɪrəns 
ADHERENT,ə dhˈɪrən  t 
ADHERENTS,æ  dhˈɪrən  ts 
ADHERES,ə dhˈɪrz 
ADHERING,ə dhˈɪrɪŋ 
ADHESION,æ  dhˈiʒən 
ADHESIVE,æ  dhˈisɪv 
ADHESIVE(1),ə dhˈisɪv 
ADHESIVES,æ  dhˈisɪvz 
ADHESIVES(1),ə dhˈisɪvz 
ADIA,ˈɑ  diə
ADID,ə dˈɪ  d 
ADIDAS,ə dˈi  dəs 
ADIDAS'S,ə dˈi  dəsɪz 
ADIEU,ə dˈu
ADIN,ə dˈɪn 
ADINA,ɑ  dˈinə
ADINE,ɑ  dˈini 
ADINOLFI,ɑ  dinˈoʊɫ  fi 
ADIOS,ˌɑ  diˈoʊs 
ADIPOSE,ˈæ  də pˌoʊs 
ADIRONDACK,ˌæ  dɝˈɑn  dæk 
ADISQ,ə dˈɪsk 
ADISQ(1),ˈeɪ dɪsk 
ADJACENT,ədʒˈeɪsən  t 
ADJANI,æ  ddʒˈɑni 
ADJECTIVE,ˈædʒɪk  tɪv 
ADJECTIVES,ˈædʒɪk  tɪvz 
ADJOIN,ədʒˈɔɪn 
ADJOINING,ədʒˈɔɪnɪŋ 
ADJOINS,ədʒˈɔɪnz 
ADJOURN,ədʒˈɝn 
ADJOURNED,ədʒˈɝn  d 
ADJOURNING,ədʒˈɝnɪŋ 
ADJOURNMENT,ədʒˈɝnmən  t 
ADJOURNS,ədʒˈɝnz 
ADJUDGE,ədʒˈʌdʒ 
ADJUDGED,ədʒˈʌdʒ  d 
ADJUDICATE,ədʒˈu dɪkˌeɪ t 
ADJUDICATED,ədʒˈu dəkˌeɪ tɪ  d 
ADJUDICATING,ədʒˈu dɪkˌeɪ tɪŋ 
ADJUDICATION,ədʒˌu  dəkˈeɪʃən 
ADJUNCT,ˈædʒˌʌŋk  t 
ADJUNCTS,ˈædʒˌʌŋk  ts 
ADJUST,ədʒˈʌs  t 
ADJUSTABLE,ədʒˈʌs  təbəɫ 
ADJUSTABLES,ədʒˈʌs  təbəɫz 
ADJUSTED,ədʒˈʌs  tɪ  d 
ADJUSTER,ədʒˈʌs  tɝ
ADJUSTERS,ədʒˈʌs  tɝz 
ADJUSTING,ədʒˈʌs  tɪŋ 
ADJUSTMENT,ədʒˈʌs  tmən  t 
ADJUSTMENTS,ədʒˈʌs  tmən  ts 
ADJUSTS,ədʒˈʌs  ts 
ADJUTANT,ˈædʒə tən  t 
ADKINS,ˈæ  dkɪnz 
ADKINSON,ˈæ  dkɪnsən 
ADKISON,ˈæ  dkɪsən 
ADKISSON,ˈæ  dkɪsən 
ADL-TABATABA,ˌɑ  dəɫ  tˌɑbə tˈɑbə
ADL-TABATABAI,ˌɑ  dəɫ  tˌɑbə tˌʌbˈaɪ
ADLAI,ɑ  dɫˈɑi 
ADLER,ˈæ  dɫɝ
ADLER'S,ˈæ  dɫɝz 
ADLERS,ˈæ  dɫɝz 
ADLEY,ˈæ  dɫi 
ADLON,ˈæ  dɫɑn 
ADLONG,ˈæ  dɫɔŋ 
ADMAN,ˈæ  dmən 
ADMEN,ˈæ  dmən 
ADMIN,ˈæ  dmɪn 
ADMINISTER,ə dmˈɪnɪs  tɝ
ADMINISTERED,ə dmˈɪnɪs  tɝ d 
ADMINISTERING,æ  dmˈɪnɪs  tˌɝɪŋ 
ADMINISTERS,æ  dmˈɪnɪs  tɝz 
ADMINISTRATE,æ  dmˈɪnɪs  trˌeɪ t 
ADMINISTRATING,ə dmˈɪnɪs  trˌeɪ tɪŋ 
ADMINISTRATION,æ  dmˌɪnɪs  trˈeɪʃən 
ADMINISTRATION'S,æ  dmˌɪnɪs  trˈeɪʃənz 
ADMINISTRATIONS,æ  dmˌɪnɪs  trˈeɪʃənz 
ADMINISTRATIONS',æ  dmˌɪnɪs  trˈeɪʃənz 
ADMINISTRATIVE,ə dmˈɪnɪs  trˌeɪ tɪv 
ADMINISTRATIVELY,æ  dmˌɪnɪs  trˈeɪ tɪvɫi 
ADMINISTRATOR,ə dmˈɪnɪs  trˌeɪ tɝ
ADMINISTRATOR'S,æ  dmˈɪnɪs  trˌeɪ tɝz 
ADMINISTRATORS,æ  dmˈɪnɪs  trˌeɪ tɝz 
ADMINISTRATORS',æ  dmˈɪnɪs  trˌeɪ tɝz 
ADMINS,ˈæ  dmɪnz 
ADMIRA,æ  dmˈaɪrə
ADMIRA'S,æ  dmˈaɪrəz 
ADMIRABLE,ˈæ  dmɝəbəɫ 
ADMIRABLE(1),ˈæ  dmrəbəɫ 
ADMIRABLY,ˈæ  dmɝəbɫi 
ADMIRAL,ˈæ  dmɝəɫ 
ADMIRAL'S,ˈæ  dmɝəɫz 
ADMIRALS,ˈæ  dmɝəɫz 
ADMIRALTY,ˈæ  dmɝəɫ  ti 
ADMIRATION,ˌæ  dmɝˈeɪʃən 
ADMIRATIONS,ˌæ  dmɝˈeɪʃənz 
ADMIRE,æ  dmˈaɪr 
ADMIRED,ə dmˈaɪɝ d 
ADMIRER,æ  dmˈaɪrɝ
ADMIRERS,ə dmˈaɪrɝz 
ADMIRES,æ  dmˈaɪrz 
ADMIRING,æ  dmˈaɪrɪŋ 
ADMIRINGLY,æ  dmˈaɪrɪŋɫi 
ADMISSIBILITY,ə dmˌɪsəbˈɪɫə ti 
ADMISSIBLE,ə dmˈɪsəbəɫ 
ADMISSION,æ  dmˈɪʃən 
ADMISSION(1),ə dmˈɪʃən 
ADMISSIONS,æ  dmˈɪʃənz 
ADMISSIONS(1),ə dmˈɪʃənz 
ADMIT,ə dmˈɪ  t 
ADMITS,ə dmˈɪ  ts 
ADMITTANCE,ə dmˈɪ  təns 
ADMITTED,ə dmˈɪ  tə d 
ADMITTEDLY,æ  dmˈɪ  tɪ  dɫi 
ADMITTING,æ  dmˈɪ  tɪŋ 
ADMITTING(1),ə dmˈɪ  tɪŋ 
ADMONISH,æ  dmˈɑnɪʃ 
ADMONISHED,ə dmˈɑnɪʃ  t 
ADMONISHES,æ  dmˈɑnɪʃɪz 
ADMONISHING,æ  dmˈɑnɪʃɪŋ 
ADMONISHMENT,æ  dmˈɑnɪʃmɛn  t 
ADMONITION,ˌæ  dmənˈɪʃən 
ADMONITIONS,ˌæ  dmənˈɪʃənz 
ADMONITORY,ˌæ  dmˈɔnɪ  tˌɔri 
ADNAN,ˈæ  dnən 
ADNEY,ˈæ  dni 
ADO,ə dˈu
ADOBE,ə dˈoʊbi 
ADOBE'S,ə dˈoʊbiz 
ADOLESCENCE,ˌæ  dəɫˈɛsəns 
ADOLESCENCE(1),ˌæ  doʊɫˈɛsəns 
ADOLESCENT,ˌæ  dəɫˈɛsən  t 
ADOLESCENT(1),ˌæ  doʊɫˈɛsən  t 
ADOLESCENTS,ˌæ  dəɫˈɛsən  ts 
ADOLESCENTS(1),ˌæ  doʊɫˈɛsən  ts 
ADOLF,ˈeɪ dɑɫ  f 
ADOLF'S,ˈeɪ dɑɫ  fs 
ADOLFO,ə dˈɑɫ  fˌoʊ
ADOLPH,ˈeɪ dɔɫ  f 
ADOLPHA,ɑ  dˈoʊɫ  fə
ADOLPHSON,ˈæ  doʊɫ  fsən 
ADOLPHUS,ə dˈɔɫ  fəs 
ADON,ɑ  dˈɔn 
ADONIA,ɑ  dˈoʊniə
ADONIS,ə dˈɑnəs 
ADOPT,ə dˈɑ  p  t 
ADOPTABLE,ə dˈɑ  p  təbəɫ 
ADOPTED,ə dˈɑ  p  tə d 
ADOPTEE,ə dˈɑ  p  tˈi 
ADOPTEES,ə dˈɑ  p  tˈiz 
ADOPTER,ə dˈɑ  p  tɝ
ADOPTERS,ə dˈɑ  p  tɝz 
ADOPTING,ə dˈɑ  p  tɪŋ 
ADOPTION,ə dˈɑ  pʃən 
ADOPTIONS,ə dˈɑ  pʃənz 
ADOPTIVE,ə dˈɑ  p  tɪv 
ADOPTS,ə dˈɑ  p  ts 
ADOR,ɑ  dˈɔr
ADORA,ɑ  dˈɔrə
ADORABELLE,ˈæ  dɝəbəɫ 
ADORABLE,ə dˈɔrəbəɫ 
ADORATION,ˌæ  dɝˈeɪʃən 
ADORE,ə dˈɔr
ADORED,ə dˈɔr d 
ADOREE,æ  dɝˈi 
ADOREES,æ  dɝˈiz 
ADORES,ə dˈɔrz 
ADORING,ə dˈɔrɪŋ 
ADORN,ə dˈɔrn 
ADORNA,ɑ  dˈɔrnə
ADORNED,ə dˈɔrn  d 
ADORNING,ə dˈɔrnɪŋ 
ADORNMENT,ə dˈɔrnmən  t 
ADORNO,ɑ  dˈɔrnoʊ
ADORNS,ə dˈɔrnz 
ADRA,ˈeɪ drə
